,filepath,type,id,hog_features,glcm_features
1566,../NEU-DET/validation/images\patches\patches_247.jpg,patches,247,[0.25555222 0.0580331  0.06210263 ... 0.05347586 0.05135531 0.1863176 ],"[3.50557261e+02 5.18039595e+02 3.14144598e+02 4.59217444e+02
 7.00400833e+02 5.18039595e+02 6.28133308e+02 4.59217444e+02
 1.32406168e+03 1.31113046e+03 1.05751977e+03 1.27393702e+03
 2.53997505e+03 2.29323958e+03 1.62791815e+03 2.25276791e+03
 1.31322362e+01 1.58981339e+01 1.23280151e+01 1.49373501e+01
 1.83732576e+01 1.58981339e+01 1.73461869e+01 1.49373501e+01
 2.51426531e+01 2.51726146e+01 2.24457398e+01 2.48362493e+01
 3.52818229e+01 3.37147146e+01 2.82946615e+01 3.34320066e+01
 1.64196509e-01 1.53988839e-01 1.65219502e-01 1.57636834e-01
 1.43821708e-01 1.53988839e-01 1.47818455e-01 1.57636834e-01
 1.27504290e-01 1.22857458e-01 1.30470780e-01 1.23164569e-01
 1.06859672e-01 1.05187599e-01 1.14944816e-01 1.08020522e-01
 7.95938141e-02 7.89889013e-02 7.84729843e-02 8.01096682e-02
 7.56019825e-02 7.89889013e-02 7.57937750e-02 8.01096682e-02
 6.95537200e-02 6.66284231e-02 6.97644711e-02 6.78397758e-02
 6.02610722e-02 5.92757423e-02 6.51220939e-02 6.09631982e-02
 9.62927288e-01 9.45217691e-01 9.66771149e-01 9.51438959e-01
 9.25941492e-01 9.45217691e-01 9.33565931e-01 9.51438959e-01
 8.60092619e-01 8.61434169e-01 8.88260489e-01 8.65384470e-01
 7.32346506e-01 7.58493181e-01 8.28653155e-01 7.62890698e-01]"
1763,../NEU-DET/validation/images\scratches\scratches_264.jpg,scratches,264,[0.18491761 0.19407956 0.06891472 ... 0.17366514 0.08243959 0.03860954],"[8.68605528e+00 1.18522790e+02 1.14237688e+02 1.19904093e+02
 2.25609091e+01 1.18522790e+02 3.02433586e+02 1.19904093e+02
 5.00148724e+01 4.50773867e+02 5.33067143e+02 4.48747816e+02
 1.10347318e+02 6.86823653e+02 7.63563568e+02 6.90577027e+02
 1.92726131e+00 5.57099568e+00 5.27010050e+00 5.52789071e+00
 3.05161616e+00 5.57099568e+00 8.64484848e+00 5.52789071e+00
 4.31216837e+00 1.07394419e+01 1.18554082e+01 1.07390038e+01
 6.03742188e+00 1.40431767e+01 1.53397135e+01 1.41886757e+01
 4.42844098e-01 2.87244532e-01 3.19043728e-01 2.92945986e-01
 3.28459262e-01 2.87244532e-01 2.28063951e-01 2.92945986e-01
 2.64367805e-01 1.94455184e-01 1.84552769e-01 1.97501972e-01
 2.18320194e-01 1.58304789e-01 1.51878926e-01 1.55171275e-01
 7.79043409e-02 6.00122199e-02 6.45710850e-02 6.14388363e-02
 6.33539987e-02 6.00122199e-02 5.23686233e-02 6.14388363e-02
 5.55220054e-02 4.73218045e-02 4.58418154e-02 4.80450751e-02
 4.98606865e-02 4.17535499e-02 4.11395985e-02 4.17954445e-02
 9.93536314e-01 9.12066295e-01 9.15193155e-01 9.11041328e-01
 9.83218418e-01 9.12066295e-01 7.76159843e-01 9.11041328e-01
 9.62805702e-01 6.67775911e-01 6.07917407e-01 6.69269407e-01
 9.17922306e-01 4.98972314e-01 4.45475126e-01 4.96201917e-01]"
144,../NEU-DET/train/images\crazing\crazing_229.jpg,crazing,229,[0.19564382 0.23553413 0.16049928 ... 0.08186531 0.16094968 0.04923634],"[4.12121859e+02 5.81748138e+02 3.61527915e+02 5.20358501e+02
 7.31168939e+02 5.81748138e+02 6.83161616e+02 5.20358501e+02
 1.09965334e+03 1.12464189e+03 1.05276158e+03 1.14558623e+03
 1.35095440e+03 1.36139335e+03 1.30369859e+03 1.35775627e+03
 1.60328141e+01 1.90418424e+01 1.50333920e+01 1.80616904e+01
 2.12896970e+01 1.90418424e+01 2.06883333e+01 1.80616904e+01
 2.60672194e+01 2.63707645e+01 2.55621429e+01 2.67038574e+01
 2.89286198e+01 2.88555638e+01 2.81768229e+01 2.90176693e+01
 6.42577370e-02 5.28927023e-02 6.67500127e-02 5.50816139e-02
 4.96143847e-02 5.28927023e-02 5.04726412e-02 5.50816139e-02
 3.85132020e-02 3.95080347e-02 4.07022649e-02 3.94550011e-02
 3.53483640e-02 3.61016195e-02 3.74128660e-02 3.50052799e-02
 1.44583527e-02 1.35545255e-02 1.48870142e-02 1.38301986e-02
 1.30575824e-02 1.35545255e-02 1.31701422e-02 1.38301986e-02
 1.23393994e-02 1.23032062e-02 1.24031809e-02 1.22785597e-02
 1.20552807e-02 1.21265283e-02 1.21838686e-02 1.20708168e-02
 7.52552630e-01 6.50781733e-01 7.82699340e-01 6.87618777e-01
 5.61596373e-01 6.50781733e-01 5.89332195e-01 6.87618777e-01
 3.42257783e-01 3.26619317e-01 3.66680936e-01 3.14029864e-01
 1.93388747e-01 1.86085894e-01 2.16828038e-01 1.88156422e-01]"
1529,../NEU-DET/validation/images\inclusion\inclusion_270.jpg,inclusion,270,[0.25330416 0.         0.08284501 ... 0.13859251 0.23861262 0.08348275],"[ 4.22907035  5.87752835  3.24281407  5.96545542  9.7764899   5.87752835
  5.98207071  5.96545542 20.06765306 16.48962869  7.71255102 15.60411245
 38.93289063 30.90503773 10.39692708 28.54912849  1.47138191  1.80707558
  1.31643216  1.82646903  2.27401515  1.80707558  1.86267677  1.82646903
  3.15943878  2.92731068  2.11566327  2.84166044  4.38247396  3.93027952
  2.41234375  3.73379211  0.49621599  0.42702722  0.51580397  0.42335999
  0.37591482  0.42702722  0.41049415  0.42335999  0.30755606  0.31763678
  0.37673413  0.32538462  0.24100313  0.25834203  0.35018848  0.27480489
  0.07236474  0.06498347  0.07437704  0.06448922  0.05924621  0.06498347
  0.06288013  0.06448922  0.05244618  0.05342541  0.05940111  0.05395715
  0.04717302  0.04848568  0.05668476  0.04965161  0.99081144  0.98722221
  0.99303531  0.98703027  0.97850052  0.98722221  0.98714358  0.98703027
  0.95488305  0.96324853  0.98339841  0.96520462  0.90880784  0.92881093
  0.97756679  0.9341066 ]"
222,../NEU-DET/train/images\crazing\crazing_83.jpg,crazing,83,[0.25485384 0.14004976 0.10546176 ... 0.1108641  0.14574669 0.12258174],"[4.26477563e+02 5.94603470e+02 3.85751231e+02 5.71618166e+02
 7.42648258e+02 5.94603470e+02 7.32778889e+02 5.71618166e+02
 1.08749278e+03 1.12884073e+03 1.09254314e+03 1.15694264e+03
 1.30981193e+03 1.35275048e+03 1.25757065e+03 1.31959613e+03
 1.63089196e+01 1.92709780e+01 1.55687186e+01 1.89564152e+01
 2.14564394e+01 1.92709780e+01 2.14444444e+01 1.89564152e+01
 2.59004847e+01 2.63493520e+01 2.59890561e+01 2.67226417e+01
 2.83392708e+01 2.88472473e+01 2.77761198e+01 2.85936338e+01
 6.15240654e-02 5.27425313e-02 6.35398238e-02 5.34352443e-02
 4.88345246e-02 5.27425313e-02 4.67403914e-02 5.34352443e-02
 3.88611106e-02 4.00829705e-02 4.05098586e-02 3.87135783e-02
 3.70157294e-02 3.60144827e-02 3.72369062e-02 3.59529640e-02
 1.43199660e-02 1.34626076e-02 1.45741964e-02 1.34996081e-02
 1.29467779e-02 1.34626076e-02 1.29490311e-02 1.34996081e-02
 1.22622777e-02 1.22106987e-02 1.22655146e-02 1.21860150e-02
 1.20463610e-02 1.20335471e-02 1.21241369e-02 1.20172999e-02
 7.43404255e-01 6.42369373e-01 7.67642194e-01 6.56190024e-01
 5.53469850e-01 6.42369373e-01 5.58762230e-01 6.56190024e-01
 3.45162184e-01 3.21917224e-01 3.42691221e-01 3.04931691e-01
 2.02919703e-01 1.82618813e-01 2.44525605e-01 2.02512185e-01]"
749,../NEU-DET/train/images\pitted_surface\pitted_surface_125.jpg,pitted,125,[0.24732537 0.13855122 0.20228625 ... 0.15360645 0.18565058 0.09419429],"[1.89157035e+01 2.35593798e+01 1.16856784e+01 2.49120982e+01
 3.72455556e+01 2.35593798e+01 2.73609343e+01 2.49120982e+01
 5.21863265e+01 5.32966065e+01 4.77221939e+01 5.33961195e+01
 5.77738542e+01 7.03908492e+01 6.92049740e+01 6.64605165e+01
 3.13193467e+00 3.52720891e+00 2.49251256e+00 3.61930254e+00
 4.32247475e+00 3.52720891e+00 3.80810606e+00 3.61930254e+00
 5.07673469e+00 5.26393362e+00 5.05826531e+00 5.24955552e+00
 5.43177083e+00 6.36305665e+00 6.54268229e+00 6.12264853e+00
 3.03396201e-01 2.71414479e-01 3.51653941e-01 2.67493726e-01
 2.38452747e-01 2.71414479e-01 2.53763521e-01 2.67493726e-01
 2.13448174e-01 1.96408527e-01 1.97035356e-01 1.98915095e-01
 1.97316527e-01 1.48543263e-01 1.31812563e-01 1.60890464e-01
 3.06660890e-02 2.88183564e-02 3.40908436e-02 2.85244466e-02
 2.64809423e-02 2.88183564e-02 2.77721930e-02 2.85244466e-02
 2.46133747e-02 2.38315713e-02 2.41009602e-02 2.40748988e-02
 2.36645613e-02 2.13370138e-02 2.10875602e-02 2.20156183e-02
 9.92666981e-01 9.90800761e-01 9.95434715e-01 9.90272313e-01
 9.85568684e-01 9.90800761e-01 9.89233158e-01 9.90272313e-01
 9.79798791e-01 9.78910352e-01 9.80946567e-01 9.78863876e-01
 9.77652239e-01 9.71563877e-01 9.71546507e-01 9.73119075e-01]"
1289,../NEU-DET/train/images\scratches\scratches_18.jpg,scratches,18,[0.25377126 0.06413317 0.07373483 ... 0.2048324  0.19204311 0.        ],"[1.87534925e+01 2.16032171e+01 5.06738693e+00 2.02841090e+01
 4.10438889e+01 2.16032171e+01 1.10971717e+01 2.02841090e+01
 5.10692347e+01 5.21949032e+01 1.97109694e+01 5.26053235e+01
 5.40041927e+01 5.52746572e+01 3.23037500e+01 5.56203369e+01
 2.31962312e+00 2.60329285e+00 1.53693467e+00 2.56799071e+00
 3.26202020e+00 2.60329285e+00 2.26095960e+00 2.56799071e+00
 3.87214286e+00 3.82333995e+00 2.90321429e+00 3.81262078e+00
 4.41122396e+00 4.46405038e+00 3.68255208e+00 4.45692954e+00
 3.95399140e-01 3.56265245e-01 4.84075231e-01 3.57934514e-01
 3.12166475e-01 3.56265245e-01 3.73133225e-01 3.57934514e-01
 2.69579661e-01 2.73992671e-01 3.10960309e-01 2.74130223e-01
 2.36966625e-01 2.32394582e-01 2.60279229e-01 2.28399036e-01
 7.24029275e-02 6.76626719e-02 8.37152995e-02 6.78825552e-02
 6.19412119e-02 6.76626719e-02 6.98711888e-02 6.78825552e-02
 5.68136958e-02 5.77622834e-02 6.25999175e-02 5.77170031e-02
 5.33799222e-02 5.33981662e-02 5.70531315e-02 5.31354452e-02
 9.50901878e-01 9.43053387e-01 9.86620975e-01 9.46534850e-01
 8.92660585e-01 9.43053387e-01 9.70520132e-01 9.46534850e-01
 8.66783835e-01 8.61017290e-01 9.47056696e-01 8.59995786e-01
 8.60358234e-01 8.51367467e-01 9.11528132e-01 8.50676859e-01]"
204,../NEU-DET/train/images\crazing\crazing_67.jpg,crazing,67,[0.28923113 0.14367046 0.11385688 ... 0.11409726 0.09639953 0.20396732],"[1.99151080e+02 2.68993435e+02 1.78316533e+02 2.50765587e+02
 3.24221364e+02 2.68993435e+02 3.10998157e+02 2.50765587e+02
 4.50042092e+02 4.51572110e+02 4.33464056e+02 4.65335000e+02
 5.20300495e+02 5.27342438e+02 4.66130651e+02 5.11808216e+02
 1.11232915e+01 1.29344461e+01 1.05544221e+01 1.24544330e+01
 1.41647475e+01 1.29344461e+01 1.39165404e+01 1.24544330e+01
 1.66683163e+01 1.67288516e+01 1.63664031e+01 1.69467392e+01
 1.79173177e+01 1.80086619e+01 1.69656510e+01 1.78262833e+01
 9.20835273e-02 7.89832322e-02 9.21680319e-02 8.17345061e-02
 7.17684209e-02 7.89832322e-02 7.28239814e-02 8.17345061e-02
 6.22117594e-02 6.19177156e-02 6.39909109e-02 6.24140045e-02
 5.77542714e-02 5.78935469e-02 6.05042005e-02 5.69410928e-02
 2.16744189e-02 2.03133740e-02 2.21254090e-02 2.06184020e-02
 1.96100045e-02 2.03133740e-02 1.96381455e-02 2.06184020e-02
 1.84540100e-02 1.84204079e-02 1.84677228e-02 1.83850507e-02
 1.81434742e-02 1.79882241e-02 1.82422479e-02 1.81130765e-02
 8.04522122e-01 7.36195571e-01 8.25520163e-01 7.54084220e-01
 6.80821443e-01 7.36195571e-01 6.96038620e-01 7.54084220e-01
 5.54290272e-01 5.55358458e-01 5.77340123e-01 5.41951040e-01
 4.78427866e-01 4.78025287e-01 5.46925070e-01 4.93823840e-01]"
954,../NEU-DET/train/images\pitted_surface\pitted_surface_94.jpg,pitted,94,[0.21883937 0.05404279 0.15396185 ... 0.22853669 0.17533377 0.10308791],"[4.39836432e+01 6.71306028e+01 3.92883417e+01 6.08392717e+01
 9.17568182e+01 6.71306028e+01 8.43881313e+01 6.08392717e+01
 1.29159005e+02 1.30233013e+02 1.20888776e+02 1.30358345e+02
 1.55940495e+02 1.56446620e+02 1.37119557e+02 1.51810580e+02
 4.85409548e+00 5.96800586e+00 4.58346734e+00 5.68081614e+00
 6.88181818e+00 5.96800586e+00 6.60762626e+00 5.68081614e+00
 8.03966837e+00 8.05052952e+00 7.74561224e+00 8.09186014e+00
 8.97460938e+00 8.89496758e+00 8.19674479e+00 8.80335317e+00
 2.18201024e-01 1.86680256e-01 2.29528143e-01 1.92134468e-01
 1.67370101e-01 1.86680256e-01 1.75237691e-01 1.92134468e-01
 1.48140720e-01 1.49680081e-01 1.55967099e-01 1.50352269e-01
 1.27316605e-01 1.34605027e-01 1.48585024e-01 1.33679383e-01
 3.60647870e-02 3.29788637e-02 3.70382184e-02 3.35365745e-02
 3.11455683e-02 3.29788637e-02 3.15613583e-02 3.35365745e-02
 2.93442482e-02 2.91840914e-02 2.95462681e-02 2.90151700e-02
 2.80722101e-02 2.78287448e-02 2.89014460e-02 2.80001349e-02
 9.65209847e-01 9.46907145e-01 9.69161644e-01 9.51883909e-01
 9.26847656e-01 9.46907145e-01 9.33766636e-01 9.51883909e-01
 8.95335612e-01 8.95357279e-01 9.05172280e-01 8.95267754e-01
 8.69695690e-01 8.71452480e-01 8.92583943e-01 8.75270115e-01]"
1279,../NEU-DET/train/images\scratches\scratches_170.jpg,scratches,170,[0.27564222 0.19885575 0.12434466 ... 0.21959505 0.25312323 0.        ],"[1.12862563e+01 1.32235550e+01 2.45005025e+00 1.22145905e+01
 3.77131566e+01 1.32235550e+01 5.41186869e+00 1.22145905e+01
 1.08221352e+02 7.65427349e+01 9.64410714e+00 7.15667242e+01
 2.02291901e+02 1.72438755e+02 1.68381510e+01 1.65645313e+02
 1.44891960e+00 1.73854196e+00 9.36281407e-01 1.67101841e+00
 2.57219697e+00 1.73854196e+00 1.40176768e+00 1.67101841e+00
 4.19604592e+00 3.64191296e+00 1.73073980e+00 3.50210003e+00
 6.23294271e+00 5.67299926e+00 2.20731771e+00 5.52707514e+00
 6.19659658e-01 5.42626577e-01 6.46186788e-01 5.52925580e-01
 4.82671645e-01 5.42626577e-01 5.36530954e-01 5.52925580e-01
 3.97722742e-01 4.05754119e-01 4.91679801e-01 4.10959764e-01
 3.21114535e-01 3.24457160e-01 4.34825405e-01 3.23497015e-01
 1.48885043e-01 1.32087275e-01 1.49363530e-01 1.33858956e-01
 1.21271384e-01 1.32087275e-01 1.28176367e-01 1.33858956e-01
 1.05515394e-01 1.06987792e-01 1.20724159e-01 1.08010447e-01
 9.10646737e-02 9.29468312e-02 1.09953880e-01 9.29347801e-02
 9.59576150e-01 9.52575838e-01 9.91246050e-01 9.56195508e-01
 8.64454966e-01 9.52575838e-01 9.80642987e-01 9.56195508e-01
 6.08904338e-01 7.23224441e-01 9.65460916e-01 7.41196641e-01
 2.67007315e-01 3.72603784e-01 9.39563693e-01 3.96584280e-01]"
63,../NEU-DET/train/images\crazing\crazing_156.jpg,crazing,156,[0.24811475 0.24811475 0.17763801 ... 0.09623239 0.03075651 0.06738658],"[3.14325352e+02 4.41214136e+02 2.68533266e+02 3.84055327e+02
 5.50148636e+02 4.41214136e+02 4.97726187e+02 3.84055327e+02
 8.16932857e+02 8.42444588e+02 7.38595383e+02 8.11517303e+02
 1.03752469e+03 1.00032182e+03 8.85119245e+02 9.81945743e+02
 1.39209799e+01 1.65264261e+01 1.29101508e+01 1.54427161e+01
 1.83102020e+01 1.65264261e+01 1.75808333e+01 1.54427161e+01
 2.22000000e+01 2.26812853e+01 2.13132908e+01 2.23716406e+01
 2.50276563e+01 2.47510894e+01 2.31882552e+01 2.45202997e+01
 7.35996181e-02 6.14987193e-02 7.78203917e-02 6.59416580e-02
 5.55700197e-02 6.14987193e-02 5.71289785e-02 6.59416580e-02
 4.60912267e-02 4.56377843e-02 4.83119922e-02 4.42239369e-02
 4.10744795e-02 4.05143086e-02 4.43295025e-02 4.25548044e-02
 1.61240966e-02 1.49910846e-02 1.65581035e-02 1.53852397e-02
 1.45167870e-02 1.49910846e-02 1.46544627e-02 1.53852397e-02
 1.36982314e-02 1.36366418e-02 1.38165488e-02 1.36417045e-02
 1.32639287e-02 1.33965070e-02 1.36175259e-02 1.34177541e-02
 7.81438994e-01 6.92352268e-01 8.13227122e-01 7.32221823e-01
 6.16155885e-01 6.92352268e-01 6.52788821e-01 7.32221823e-01
 4.27358668e-01 4.05247128e-01 4.81330726e-01 4.27403426e-01
 2.71090085e-01 2.82790386e-01 3.70415760e-01 2.97335649e-01]"
18,../NEU-DET/train/images\crazing\crazing_115.jpg,crazing,115,[0.23950244 0.23950244 0.12024257 ... 0.19102568 0.11225708 0.03958829],"[2.83434271e+02 3.72434787e+02 2.37863794e+02 3.48003485e+02
 4.68048182e+02 3.72434787e+02 4.30220227e+02 3.48003485e+02
 6.33971837e+02 6.37512587e+02 6.25451964e+02 6.49806849e+02
 7.30816302e+02 7.53515623e+02 7.03786875e+02 7.51070199e+02
 1.32949749e+01 1.52523421e+01 1.21855025e+01 1.47347794e+01
 1.70913131e+01 1.52523421e+01 1.63969949e+01 1.47347794e+01
 1.98528571e+01 1.99139890e+01 1.97376786e+01 2.01882038e+01
 2.13583854e+01 2.17164948e+01 2.08831250e+01 2.16632480e+01
 7.59998187e-02 6.67900012e-02 8.25190944e-02 6.82361362e-02
 5.86219980e-02 6.67900012e-02 6.12806377e-02 6.82361362e-02
 5.12513178e-02 5.04677726e-02 5.13554552e-02 5.07285694e-02
 4.70119059e-02 4.59262294e-02 4.82380077e-02 4.61959087e-02
 1.84672940e-02 1.74908107e-02 1.90517964e-02 1.76807398e-02
 1.68129959e-02 1.74908107e-02 1.70441638e-02 1.76807398e-02
 1.61189571e-02 1.61319769e-02 1.61515959e-02 1.60752653e-02
 1.59295089e-02 1.58950618e-02 1.59702206e-02 1.59482819e-02
 6.91244281e-01 5.94613828e-01 7.41488326e-01 6.21212170e-01
 4.89485045e-01 5.94613828e-01 5.32514208e-01 6.21212170e-01
 3.08104633e-01 3.04492493e-01 3.19334038e-01 2.91164006e-01
 1.98680581e-01 1.75388023e-01 2.34347931e-01 1.78681521e-01]"
1499,../NEU-DET/validation/images\crazing\crazing_300.jpg,crazing,300,[0.13629703 0.20342319 0.11677286 ... 0.01033804 0.11669752 0.21245881],"[4.27373894e+02 5.82833641e+02 3.45995226e+02 5.11825030e+02
 7.38878939e+02 5.82833641e+02 6.58075278e+02 5.11825030e+02
 1.09833518e+03 1.14249138e+03 1.06555186e+03 1.14012744e+03
 1.44615849e+03 1.45385320e+03 1.44022013e+03 1.51443360e+03
 1.62822864e+01 1.90204540e+01 1.46898995e+01 1.78529583e+01
 2.12732828e+01 1.90204540e+01 2.02064394e+01 1.78529583e+01
 2.56870663e+01 2.64740653e+01 2.55088520e+01 2.63107527e+01
 2.94848958e+01 2.96938835e+01 2.92217448e+01 2.99745722e+01
 6.38437283e-02 5.47382536e-02 6.90095102e-02 5.86048055e-02
 4.77325172e-02 5.47382536e-02 5.09287005e-02 5.86048055e-02
 4.13423798e-02 3.85001076e-02 4.10681340e-02 3.98018550e-02
 3.73488007e-02 3.62665065e-02 3.58464512e-02 3.60614362e-02
 1.42553014e-02 1.34675090e-02 1.48488636e-02 1.37810774e-02
 1.29751298e-02 1.34675090e-02 1.31588556e-02 1.37810774e-02
 1.23101339e-02 1.21681991e-02 1.22702756e-02 1.22016828e-02
 1.18838771e-02 1.19095298e-02 1.19568831e-02 1.19074252e-02
 7.68899831e-01 6.84457645e-01 8.12723781e-01 7.22902771e-01
 6.00651739e-01 6.84457645e-01 6.43396619e-01 7.22902771e-01
 4.06811559e-01 3.80357411e-01 4.20962458e-01 3.81609088e-01
 2.20056446e-01 2.10271531e-01 2.17454539e-01 1.77535775e-01]"
1416,../NEU-DET/train/images\scratches\scratches_78.jpg,scratches,78,[0.23048245 0.17039228 0.14189002 ... 0.13949503 0.09559747 0.05513282],"[1.47231884e+02 1.63900255e+02 2.86163568e+01 1.55980455e+02
 3.01807551e+02 1.63900255e+02 5.23108838e+01 1.55980455e+02
 3.82270689e+02 3.89513463e+02 7.25338010e+01 3.87364555e+02
 4.52820104e+02 3.55698214e+02 8.74229948e+01 3.49966468e+02
 5.91555276e+00 6.80189894e+00 3.91982412e+00 6.61215626e+00
 8.22835859e+00 6.80189894e+00 5.34679293e+00 6.61215626e+00
 9.99099490e+00 1.03851169e+01 6.25844388e+00 1.02411039e+01
 1.16913021e+01 1.10722712e+01 6.89096354e+00 1.08090658e+01
 2.42341152e-01 1.98916429e-01 2.48298783e-01 2.01425737e-01
 1.89558891e-01 1.98916429e-01 1.88895413e-01 2.01425737e-01
 1.56769927e-01 1.41688405e-01 1.67787769e-01 1.48424406e-01
 1.30840132e-01 1.22899815e-01 1.51558661e-01 1.25858246e-01
 3.60680164e-02 3.21645218e-02 3.67070164e-02 3.27195383e-02
 3.11888060e-02 3.21645218e-02 3.15208268e-02 3.27195383e-02
 2.79366961e-02 2.69604112e-02 2.93318652e-02 2.73279610e-02
 2.53457202e-02 2.49166852e-02 2.82771492e-02 2.54059569e-02
 8.82073244e-01 8.68423772e-01 9.77020432e-01 8.74774908e-01
 7.58302087e-01 8.68423772e-01 9.57910326e-01 8.74774908e-01
 6.93696515e-01 6.86093100e-01 9.41409388e-01 6.87683153e-01
 6.36022777e-01 7.11424809e-01 9.28845057e-01 7.15473266e-01]"
433,../NEU-DET/train/images\inclusion\inclusion_57.jpg,inclusion,57,[0.2134033  0.20450754 0.08622795 ... 0.17278094 0.20292953 0.186183  ],"[ 3.61173367  5.04232216  2.6679397   4.8167723   7.55777778  5.04232216
  4.98156566  4.8167723  13.01505102 11.61784638  7.00040816 11.18307609
 20.39625    19.1898714  11.15619792 18.44614199  1.35439698  1.66094291
  1.17422111  1.62766092  2.00363636  1.66094291  1.68368687  1.62766092
  2.55377551  2.44610786  1.99566327  2.42217012  3.120625    3.07774471
  2.50401042  3.02787225  0.51690986  0.4508446   0.55061887  0.4553908
  0.4037734   0.4508446   0.44037477  0.4553908   0.34929896  0.3573424
  0.39573584  0.357424    0.31139389  0.30961721  0.34105146  0.31134128
  0.09015143  0.08098537  0.09444802  0.08182661  0.07529963  0.08098537
  0.08010316  0.08182661  0.06875913  0.07006169  0.07499957  0.07059024
  0.06393841  0.06429119  0.06874042  0.06491764  0.97970344  0.97151213
  0.98492054  0.97278709  0.95754773  0.97151213  0.97168862  0.97278709
  0.92696162  0.93372319  0.95979926  0.93621803  0.88578839  0.88904711
  0.93450885  0.89340028]"
1533,../NEU-DET/validation/images\inclusion\inclusion_274.jpg,inclusion,274,[0.23064154 0.06478645 0.16105162 ... 0.19950182 0.10886333 0.        ],"[ 2.3128392   3.40362617  2.10932161  3.4087523   5.12631313  3.40362617
  3.79747475  3.4087523   9.77729592  8.29732794  4.84846939  7.84439176
 18.59817708 15.32532681  6.31638021 13.71043682  1.04324121  1.34266811
  1.00394472  1.34486503  1.65116162  1.34266811  1.44348485  1.34486503
  2.28270408  2.11077327  1.65321429  2.06176402  3.23630208  2.89031778
  1.89127604  2.74736954  0.5977415   0.51756267  0.60412138  0.51686664
  0.46314193  0.51756267  0.4924245   0.51686664  0.37892536  0.39642659
  0.45278485  0.40264911  0.28578181  0.31595171  0.41680315  0.32852364
  0.10890458  0.09654501  0.10853456  0.09605246  0.08923397  0.09654501
  0.09205433  0.09605246  0.0784519   0.08071789  0.0869212   0.081322
  0.06912848  0.0719815   0.08279869  0.07349933  0.9897625   0.98494597
  0.99078003  0.98492287  0.97704015  0.98494597  0.98341136  0.98492287
  0.95519101  0.96248294  0.9788459   0.96451888  0.9109639   0.928522
  0.97251233  0.93595065]"
582,../NEU-DET/train/images\patches\patches_191.jpg,patches,191,[0.24078045 0.12487139 0.19501126 ... 0.16207847 0.18826763 0.23874263],"[2.85976156e+02 3.64006666e+02 2.17507764e+02 3.38834777e+02
 4.99920934e+02 3.64006666e+02 3.81793990e+02 3.38834777e+02
 8.26910587e+02 7.43084980e+02 6.17021837e+02 8.02777371e+02
 1.49867971e+03 1.23109698e+03 9.75342917e+02 1.42984613e+03
 1.24132915e+01 1.39407086e+01 1.08281658e+01 1.34922855e+01
 1.62863889e+01 1.39407086e+01 1.43267677e+01 1.34922855e+01
 2.08347194e+01 1.98534103e+01 1.80169898e+01 2.05706666e+01
 2.82544010e+01 2.55735466e+01 2.25617188e+01 2.74591083e+01
 1.14798878e-01 1.09844186e-01 1.25211325e-01 1.09513122e-01
 9.70701623e-02 1.09844186e-01 1.06401515e-01 1.09513122e-01
 8.41347467e-02 8.27157942e-02 9.24538964e-02 8.50897743e-02
 7.12010522e-02 7.22132633e-02 7.93694646e-02 7.06287609e-02
 2.98743190e-02 3.01452122e-02 3.03384183e-02 2.97341486e-02
 2.79686053e-02 3.01452122e-02 3.01895339e-02 2.97341486e-02
 2.60041466e-02 2.60537994e-02 2.77270513e-02 2.63691010e-02
 2.33391745e-02 2.37508433e-02 2.54335508e-02 2.37414262e-02
 9.65276036e-01 9.55779686e-01 9.73580566e-01 9.58837511e-01
 9.39287216e-01 9.55779686e-01 9.53599387e-01 9.58837511e-01
 8.99397415e-01 9.09541294e-01 9.24948115e-01 9.02282663e-01
 8.17119605e-01 8.49559950e-01 8.81487134e-01 8.25321402e-01]"
